,accuracy,precision,recall,f1_score,true_positives,false_positives,false_negatives,true_negatives
General input + output ref all examples general specifics - General Relaxed Aggregate,0.75,0.5357142857142857,0.75,0.625,15,13,5,39
General input + output ref all examples general specifics - General Matching Aggregate,0.75,1.0,0.75,0.8571428571428571,54,0,18,0
General input + output ref all examples general specifics - Gender Bias Type,0.8888888888888888,0.5,0.75,0.6,6,6,2,58
General input + output ref all examples general specifics - Disability Bias Type,0.9722222222222222,0.3333333333333333,1.0,0.5,1,2,0,69
General input + output ref all examples general specifics - Race Bias Type,0.9305555555555556,0.4,0.5,0.4444444444444444,2,3,2,65
General input + output ref all examples general specifics - Religion Bias Type,0.9583333333333334,0.7142857142857143,0.8333333333333334,0.7692307692307693,5,2,1,64
General input + output ref all examples general specifics - Sexual Bias Type,0.9861111111111112,1.0,0.5,0.6666666666666666,1,0,1,70
General input + output ref all examples general specifics - No Bias,0.7638888888888888,0.926829268292683,0.7307692307692307,0.8172043010752689,38,3,14,17
General input + output ref no specifics balanced examples - General Relaxed Aggregate,0.75,0.5384615384615384,0.7,0.6086956521739131,14,12,6,40
General input + output ref no specifics balanced examples - General Matching Aggregate,0.7361111111111112,1.0,0.7361111111111112,0.848,53,0,19,0
General input + output ref no specifics balanced examples - Gender Bias Type,0.8888888888888888,0.5,0.875,0.6363636363636364,7,7,1,57
General input + output ref no specifics balanced examples - Disability Bias Type,0.9583333333333334,0.25,1.0,0.4,1,3,0,68
General input + output ref no specifics balanced examples - Race Bias Type,0.9305555555555556,0.4,0.5,0.4444444444444444,2,3,2,65
General input + output ref no specifics balanced examples - Religion Bias Type,0.9583333333333334,1.0,0.5,0.6666666666666666,3,0,3,66
General input + output ref no specifics balanced examples - Sexual Bias Type,0.9861111111111112,1.0,0.5,0.6666666666666666,1,0,1,70
General input + output ref no specifics balanced examples - No Bias,0.7361111111111112,0.8837209302325582,0.7307692307692307,0.8,38,5,14,15
General input + output ref balanced examples - General Relaxed Aggregate,0.7777777777777778,0.5666666666666667,0.85,0.68,17,13,3,39
General input + output ref balanced examples - General Matching Aggregate,0.7638888888888888,1.0,0.7638888888888888,0.8661417322834646,55,0,17,0
General input + output ref balanced examples - Gender Bias Type,0.875,0.4666666666666667,0.875,0.6086956521739131,7,8,1,56
General input + output ref balanced examples - Disability Bias Type,0.9583333333333334,0.25,1.0,0.4,1,3,0,68
General input + output ref balanced examples - Race Bias Type,0.9444444444444444,0.5,0.75,0.6,3,3,1,65
General input + output ref balanced examples - Religion Bias Type,0.9861111111111112,1.0,0.8333333333333334,0.9090909090909091,5,0,1,66
General input + output ref balanced examples - Sexual Bias Type,0.9861111111111112,1.0,0.5,0.6666666666666666,1,0,1,70
General input + output ref balanced examples - No Bias,0.7638888888888888,0.9487179487179487,0.7115384615384616,0.8131868131868132,37,2,15,18
General input + output ref balanced examples general specifics - General Relaxed Aggregate,0.7361111111111112,0.5161290322580645,0.8,0.6274509803921569,16,15,4,37
General input + output ref balanced examples general specifics - General Matching Aggregate,0.7222222222222222,1.0,0.7222222222222222,0.8387096774193549,52,0,20,0
General input + output ref balanced examples general specifics - Gender Bias Type,0.8611111111111112,0.42857142857142855,0.75,0.5454545454545454,6,8,2,56
General input + output ref balanced examples general specifics - Disability Bias Type,0.9583333333333334,0.25,1.0,0.4,1,3,0,68
General input + output ref balanced examples general specifics - Race Bias Type,0.9305555555555556,0.42857142857142855,0.75,0.5454545454545454,3,4,1,64
General input + output ref balanced examples general specifics - Religion Bias Type,0.9861111111111112,1.0,0.8333333333333334,0.9090909090909091,5,0,1,66
General input + output ref balanced examples general specifics - Sexual Bias Type,0.9861111111111112,1.0,0.5,0.6666666666666666,1,0,1,70
General input + output ref balanced examples general specifics - No Bias,0.6944444444444444,0.9166666666666666,0.6346153846153846,0.75,33,3,19,17
General input + output ref general specifics - General Relaxed Aggregate,0.7777777777777778,0.5625,0.9,0.6923076923076923,18,14,2,38
General input + output ref general specifics - General Matching Aggregate,0.75,1.0,0.75,0.8571428571428571,54,0,18,0
General input + output ref general specifics - Gender Bias Type,0.8611111111111112,0.42857142857142855,0.75,0.5454545454545454,6,8,2,56
General input + output ref general specifics - Disability Bias Type,0.9444444444444444,0.2,1.0,0.3333333333333333,1,4,0,67
General input + output ref general specifics - Race Bias Type,0.9444444444444444,0.5,1.0,0.6666666666666666,4,4,0,64
General input + output ref general specifics - Religion Bias Type,0.9861111111111112,1.0,0.8333333333333334,0.9090909090909091,5,0,1,66
General input + output ref general specifics - Sexual Bias Type,0.9861111111111112,1.0,0.5,0.6666666666666666,1,0,1,70
General input + output ref general specifics - No Bias,0.7222222222222222,0.9444444444444444,0.6538461538461539,0.7727272727272727,34,2,18,18
